name,address,website,founders_names,founders_linkedin,batch,year,yc_url,per_company_api
CircuitHub,"London, England, United Kingdom",https://circuithub.com,"Andrew Seddon; Founded: 2012 Batch: Winter 2012 Team Size: 58 Status: Active Location: London, United Kingdom",https://www.linkedin.com/in/seddonandrew/; https://www.linkedin.com/company/circuithub,Winter 2012,2012,https://www.ycombinator.com/companies/circuithub,https://yc-oss.github.io/api/batches/winter-2012/circuithub.json
iCracked,"Redwood City, CA, USA",http://icracked.com,Tony Martin,https://linkedin.com/in/anthonyjohnmartin,Winter 2012,2012,https://www.ycombinator.com/companies/icracked,https://yc-oss.github.io/api/batches/winter-2012/icracked.json
42Floors,"San Francisco, CA, USA; Remote",http://42floors.com,Jason Freedman; James Bracy; Jonathan Bracy,https://www.linkedin.com/in/jasonfreedman/; https://www.linkedin.com/in/waratuman/; https://www.linkedin.com/in/jonbracy/,Winter 2012,2012,https://www.ycombinator.com/companies/42floors,https://yc-oss.github.io/api/batches/winter-2012/42floors.json
PlanGrid,"San Francisco, CA, USA",http://plangrid.com,Tracy Young; Ralph Gootee; Ryan Sutton-Gee,https://www.linkedin.com/in/tracy-young-0a17441; https://www.linkedin.com/in/ralphleon/; https://www.linkedin.com/in/rsuttong,Winter 2012,2012,https://www.ycombinator.com/companies/plangrid,https://yc-oss.github.io/api/batches/winter-2012/plangrid.json
WireOver,"Cambridge, MA, USA",http://wireover.com,Amit Bansil,https://www.linkedin.com/in/amitbansil/,Winter 2012,2012,https://www.ycombinator.com/companies/wireover,https://yc-oss.github.io/api/batches/winter-2012/wireover.json
The Muse,"New York, NY, USA",http://themuse.com,Kathryn Minshew; Alex Cavoulacos,https://www.linkedin.com/in/kathryn-minshew/; https://www.linkedin.com/in/acavoulacos/,Winter 2012,2012,https://www.ycombinator.com/companies/the-muse,https://yc-oss.github.io/api/batches/winter-2012/the-muse.json
SendHub,"Pleasanton, CA, USA",http://sendhub.com,,,Winter 2012,2012,https://www.ycombinator.com/companies/sendhub,https://yc-oss.github.io/api/batches/winter-2012/sendhub.json
Hipmob,"Palo Alto, CA, USA",http://hipmob.com,Olufemi Omojola,https://www.linkedin.com/in/kalvin,Winter 2012,2012,https://www.ycombinator.com/companies/hipmob,https://yc-oss.github.io/api/batches/winter-2012/hipmob.json
MyVR,"San Francisco, CA, USA",http://myvr.com,Jonathan Murray; Markus Nordvik; Mike Stachowiak; Founded: 2012 Batch: Winter 2012 Team Size: 15 Status: Acquired Location: San Francisco,https://www.linkedin.com/in/jonmurray/; https://www.linkedin.com/in/mnordvik/; https://www.linkedin.com/in/mstachowiak/; https://www.linkedin.com/company/myvr-com/,Winter 2012,2012,https://www.ycombinator.com/companies/myvr,https://yc-oss.github.io/api/batches/winter-2012/myvr.json
HireArt,"New York, NY, USA",http://hireart.com,Founded: 2012 Batch: Winter 2012 Team Size: 90 Status: Active Location: New York; Nicholas Sedlet,https://www.linkedin.com/company/hireart; https://www.linkedin.com/in/nick-sedlet,Winter 2012,2012,https://www.ycombinator.com/companies/hireart,https://yc-oss.github.io/api/batches/winter-2012/hireart.json
Amiato,"Palo Alto, CA, USA",http://noudata.com,,,Winter 2012,2012,https://www.ycombinator.com/companies/amiato,https://yc-oss.github.io/api/batches/winter-2012/amiato.json
Medigram,"Los Gatos, CA, USA",http://medigram.com,Yuhao Ding,https://www.linkedin.com/in/yuhaoding,Winter 2012,2012,https://www.ycombinator.com/companies/medigram,https://yc-oss.github.io/api/batches/winter-2012/medigram.json
Couple,"San Francisco, CA, USA",http://couple.me,Oleg Kostour; Michael Petrov; Aswinkumar Rajendiran; Anton Krutiansky,https://www.linkedin.com/in/olegkostour/; https://www.linkedin.com/in/petrovmichael/; https://www.linkedin.com/in/aswinrajendiran/; https://www.linkedin.com/in/antonkrutiansky,Winter 2012,2012,https://www.ycombinator.com/companies/couple,https://yc-oss.github.io/api/batches/winter-2012/couple.json
HackPad,"San Francisco, CA, USA",http://hackpad.com,Igor Kofman,https://www.linkedin.com/in/ikofman/,Winter 2012,2012,https://www.ycombinator.com/companies/hackpad,https://yc-oss.github.io/api/batches/winter-2012/hackpad.json
Rescale,"San Francisco, CA, USA",https://rescale.com,Joris Poort; Adam McKenzie; Founded: 2011 Batch: Winter 2012 Team Size: 250 Status: Active Location: San Francisco,https://www.linkedin.com/in/gpoort/; https://www.linkedin.com/in/adammckenzie; https://www.linkedin.com/company/rescale,Winter 2012,2012,https://www.ycombinator.com/companies/rescale,https://yc-oss.github.io/api/batches/winter-2012/rescale.json
SlidePay,"Mountain View, CA, USA",https://angel.co/slidepay,Charlie Pinto; Christopher Morton; Joel Christner,https://www.linkedin.com/in/charlespinto; https://linkedin.com/in/mortonch; https://www.linkedin.com/in/joelchristner/,Winter 2012,2012,https://www.ycombinator.com/companies/slidepay,https://yc-oss.github.io/api/batches/winter-2012/slidepay.json
Tap to Learn,"Menlo Park, CA, USA",http://taptolearn.com,Roby Thomas John; Avinash Pandey; Sreejit Jayanthan,https://www.linkedin.com/in/robytj/; https://www.linkedin.com/in/avinash-pandey/; https://www.linkedin.com/in/sreejitj/,Winter 2012,2012,https://www.ycombinator.com/companies/tap-to-learn,https://yc-oss.github.io/api/batches/winter-2012/tap-to-learn.json
Optilly/Installmonetizer,"San Jose, CA, USA",http://optilly.com,Vince Mundy; Lloyd Jacob,https://www.linkedin.com/in/vince-mundy-963b526; https://linkedin.com/in/lloydjacob,Winter 2012,2012,https://www.ycombinator.com/companies/optilly-installmonetizer,https://yc-oss.github.io/api/batches/winter-2012/optilly-installmonetizer.json
BookSolid,,http://booksolid.com,Travis Kiefer,https://www.linkedin.com/in/kieftrav/,Winter 2012,2012,https://www.ycombinator.com/companies/booksolid,https://yc-oss.github.io/api/batches/winter-2012/booksolid.json
